ID_FINCA|VARIEDAD|MODO|TIPO|COLOR|SUPERFICIE|PREDICCION PRODUCCION
48626|32|2|0|1|4.0|22172.443283296885
47921|32|2|0|1|7.0|41688.01230211828
5696|59|1|0|1|8.0|17298.84972709505
98814|32|2|0|1|3.0|12212.110319584885
98814|40|2|0|1|3.0|12212.110319584885
4024|15|2|0|1|1.0|2711.7528744962565
4024|32|2|0|1|21.0|71962.31681326083
4024|87|2|0|0|12.0|70627.56653031708
4024|40|2|0|1|18.0|74181.03942179334
4024|52|2|0|1|8.0|26886.82342515692
4024|59|2|0|1|2.6796690307328603|7236.32655251724
4024|81|2|0|1|14.0|64533.52904983989
73332|32|2|0|1|1.0|4726.5886834234
99793|87|2|0|0|2.6796690307328603|10147.756572368236
99793|52|2|0|1|2.6796690307328603|9610.517312806813
68049|87|2|0|0|2.6796690307328603|13173.562651550212
32997|32|2|0|1|3.0|13576.124064881094
32997|40|2|0|1|3.0|13576.124064881094
19067|68|1|0|0|2.6796690307328603|8307.628119682491
19067|59|1|0|1|1.0|1684.4271036463344
19067|32|2|0|1|2.6796690307328603|11014.447754918443
48410|68|1|0|0|1.0|2877.053043490291
48410|81|1|0|1|1.0|2877.053043490291
48410|87|2|0|0|2.6796690307328603|13173.562651550212
48410|68|2|0|0|1.0|4275.36684273081
48410|81|2|0|1|1.0|4275.36684273081
63133|68|1|0|0|1.0|2877.053043490291
63133|59|1|0|1|2.0|4837.000848206485
63133|81|1|0|1|2.6796690307328603|9164.571768290944
63133|87|2|0|0|2.6796690307328603|13173.562651550212
63133|68|2|0|0|2.6796690307328603|11858.636185424546
63133|81|2|0|1|2.6796690307328603|11858.636185424546
48652|17|1|0|1|1.0|2096.65118005464
48652|59|1|0|1|1.0|1810.6492498324758
39664|68|1|0|0|1.0|2877.053043490291
39664|59|1|0|1|1.0|1810.6492498324758
39664|59|2|0|1|1.0|3469.5288988188836
31838|68|1|0|0|1.0|3012.0910785183282
51822|17|1|0|1|12.0|54851.76473509719
38795|40|2|0|1|2.0|7275.114089368783
78863|17|2|0|1|2.0|7414.555901320495
14671|17|2|0|1|2.6796690307328603|9492.330443358069
1133|17|2|0|1|2.6796690307328603|7291.761889970841
70224|17|2|0|1|2.6796690307328603|11108.233578966216
97574|59|2|0|1|3.0|10424.55550816296
43705|17|2|0|1|4.0|17788.296940603395
93182|40|2|0|1|1.0|5145.025588301805
24404|32|2|0|1|9.0|50722.21408086037
24404|81|2|0|1|9.0|47777.899138835885
87125|32|2|0|1|2.6796690307328603|12554.123478848485
87125|17|2|0|1|2.6796690307328603|12021.532247056371
70378|9|2|0|0|2.0|5820.977738533515
16355|17|2|0|1|2.6796690307328603|9492.330443358069
12622|17|2|0|1|1.0|3133.590007030958
1592|32|2|0|1|4.0|11555.261103738601
1554|32|2|0|1|2.6796690307328603|7972.734026487779
20943|32|2|0|1|1.0|3724.019194075833
10999|32|2|0|1|1.0|3177.1433196326534
46499|32|2|0|1|2.6796690307328603|11920.161637832924
23983|32|2|0|1|1.0|3724.019194075833
966|32|2|0|1|1.0|2823.4266221635
71061|32|2|0|1|2.0|7713.580711959019
27515|32|2|0|1|2.6796690307328603|11492.671227734372
39360|32|2|0|1|3.0|13796.913211248844
32572|32|2|0|1|2.6796690307328603|11492.671227734372
23530|32|2|0|1|2.6796690307328603|11338.963385760937
86582|17|1|0|1|2.6796690307328603|9066.901980176883
86582|59|1|0|1|2.6796690307328603|8108.867006210889
83472|17|1|0|1|7.0|26953.363743192956
83472|59|1|0|1|16.0|68703.89650714981
83472|81|1|0|1|8.0|26725.38953910529
77984|15|2|0|1|1.0|4371.168732163363
77984|59|2|0|1|2.6796690307328603|10822.23164874405
77984|81|2|0|1|2.0|7151.042426979233
13054|15|2|0|1|2.0|5506.872624095384
13054|59|2|0|1|2.6796690307328603|7999.293194588314
13054|81|2|0|1|1.0|3542.109576433527
1142|59|1|0|1|1.0|710.4761546661716
16692|15|2|0|1|1.0|3309.9785685449724
16692|32|2|0|1|4.0|16885.389258119187
16692|59|2|0|1|2.6796690307328603|9206.328513135903
78846|15|2|0|1|1.0|4371.168732163363
78846|59|2|0|1|2.6796690307328603|10822.23164874405
59317|15|2|0|1|1.0|3699.1356884195347
59317|59|2|0|1|2.6796690307328603|10822.23164874405
10133|17|2|0|1|1.0|3133.590007030958
75065|59|1|0|1|2.0|4606.434255437919
18976|32|2|0|1|2.0|6578.900022404463
25825|17|1|0|1|1.0|2175.2940744611647
20881|17|1|0|1|1.0|2021.5862324877332
9609|17|1|0|1|1.0|1474.7103580445516
92531|59|1|0|1|1.0|1995.5197335572893
92531|59|2|0|1|1.0|3654.399382543697
76476|17|1|0|1|1.0|2712.2890831769555
80506|40|2|0|1|2.0|7947.147133112612
92099|40|2|0|1|1.0|5145.025588301805
81093|17|1|0|1|1.0|1246.0311835333903
36535|17|1|0|1|2.0|3516.5368136092393
36535|59|1|0|1|2.0|3324.286612039204
84613|59|1|0|1|6.0|22937.469393932104
84613|81|1|0|1|1.0|2310.5600019559747
37005|81|1|0|1|4.0|13707.727995401683
18632|52|1|0|1|8.0|22256.581753423983
18632|52|2|0|1|8.0|32721.36295238896
62259|94|2|0|0|2.6796690307328603|11029.91112229115
16613|94|2|0|0|3.0|11767.359652589246
32060|17|1|0|1|7.0|25846.426545722978
32060|81|1|0|1|5.0|18064.129074784425
94968|32|2|0|1|2.0|9499.76142109935
80886|17|2|0|1|2.6796690307328603|10448.074647901773
51852|17|2|0|1|3.0|11652.793177573865
13439|32|2|0|1|1.0|2333.9892640148037
19515|32|2|0|1|5.0|26008.68932473475
35465|32|2|0|1|4.0|19528.494406262078
37826|32|2|0|1|4.0|19528.494406262078
37826|17|2|0|1|10.0|72652.03818647703
49672|32|2|0|1|1.0|4414.075723553091
64738|52|1|0|1|2.6796690307328603|9335.452070137051
64738|52|2|0|1|2.6796690307328603|12290.08233701654
59146|59|2|0|1|2.0|7712.080042520426
94033|52|2|0|1|2.0|8416.241197444993
74473|59|2|0|1|2.0|7163.769985513479
40200|71|1|0|1|2.0|6132.874448006346
38272|71|1|0|1|1.0|3302.0048773769367
38272|87|1|0|0|2.0|6623.653859750829
38272|17|1|0|1|1.0|2768.815673189654
38272|81|1|0|1|3.0|11048.422390745463
38272|52|2|0|1|1.0|4235.4451206060285
27629|32|2|0|1|3.0|14928.81995170695
99693|81|1|0|1|6.0|27802.424736421897
